,Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,faixa_nota
1902,27,73,Baixo,Médio,Não,7,91,Médio,Sim,2,Alto,Médio,Público,Neutro,4,Não,Faculdade,Longe,Feminino,68,médio
1903,22,87,Médio,Médio,Não,8,60,Baixo,Sim,2,Médio,Alto,Público,Negativo,2,Não,Faculdade,Moderado,Masculino,67,médio
1904,19,79,Baixo,Médio,Não,9,82,Médio,Sim,1,Baixo,Médio,Privado,Neutro,4,Não,Ensino Médio,Perto,Masculino,65,médio
1905,23,99,Baixo,Médio,Não,9,73,Médio,Sim,0,Baixo,Médio,Público,Negativo,4,Não,Faculdade,Perto,Masculino,69,médio
1906,11,95,Médio,Médio,Não,6,81,Alto,Sim,2,Baixo,Baixo,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,67,médio
1907,13,74,Baixo,Baixo,Sim,7,98,Alto,Sim,0,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Perto,Feminino,64,médio
1908,13,62,Baixo,Médio,Sim,6,90,Médio,Não,3,Alto,Alto,Privado,Neutro,3,Sim,Pós-Graduação,Perto,Feminino,62,médio
1909,21,94,Médio,Médio,Sim,9,65,Baixo,Sim,5,Alto,Alto,Privado,Neutro,3,Sim,Ensino Médio,Perto,Masculino,71,médio
1910,30,96,Médio,Alto,Sim,9,53,Médio,Não,0,Médio,Médio,Privado,Neutro,3,Não,Ensino Médio,Perto,Masculino,72,médio
1911,33,93,Alto,Alto,Sim,7,98,Baixo,Sim,0,Médio,Médio,Público,Negativo,2,Sim,Ensino Médio,Perto,Feminino,74,médio
1912,24,65,Baixo,Alto,Não,6,79,Baixo,Sim,1,Médio,Alto,Público,Neutro,2,Não,Pós-Graduação,Perto,Masculino,66,médio
1913,23,100,Alto,Baixo,Sim,4,59,Médio,Sim,2,Médio,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Feminino,72,médio
1914,9,70,Alto,Médio,Não,5,81,Médio,Sim,1,Alto,Alto,Privado,Neutro,4,Não,Pós-Graduação,Perto,Feminino,65,médio
1915,17,89,Alto,Médio,Sim,4,52,Alto,Sim,0,Baixo,Médio,Público,Positivo,3,Não,Faculdade,Longe,Feminino,67,médio
1916,15,96,Médio,Alto,Sim,5,59,Alto,Sim,2,Médio,Alto,Privado,Neutro,2,Não,Ensino Médio,Perto,Masculino,70,médio
1917,16,69,Alto,Médio,Sim,10,82,Médio,Sim,0,Baixo,Alto,Público,Negativo,1,Sim,Ensino Médio,Moderado,Masculino,62,médio
1918,19,96,Baixo,Baixo,Sim,5,70,Alto,Sim,0,Baixo,Médio,Público,Positivo,2,Não,Ensino Médio,Longe,Masculino,66,médio
1919,17,72,Baixo,Médio,Sim,5,66,Médio,Sim,2,Alto,Alto,Público,Negativo,3,Não,Faculdade,Perto,Masculino,65,médio
1920,8,99,Baixo,Alto,Sim,6,83,Alto,Sim,2,Médio,Alto,Público,Positivo,4,Sim,Pós-Graduação,Perto,Masculino,70,médio
1921,24,71,Alto,Alto,Sim,10,93,Baixo,Sim,2,Médio,Médio,Privado,Positivo,2,Sim,Faculdade,Perto,Feminino,69,médio
1922,14,98,Médio,Médio,Sim,7,84,Baixo,Sim,3,Alto,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,70,médio
1923,21,62,Alto,Alto,Não,8,73,Médio,Sim,2,Alto,Médio,Privado,Negativo,2,Não,Faculdade,Perto,Feminino,66,médio
1924,32,88,Médio,Baixo,Sim,7,83,Baixo,Sim,1,Baixo,Alto,Privado,Positivo,4,Não,Pós-Graduação,Perto,Masculino,73,médio
1925,14,81,Alto,Médio,Não,4,85,Baixo,Sim,3,Médio,Alto,Público,Positivo,4,Não,Pós-Graduação,Moderado,Feminino,69,médio
1926,5,79,Alto,Alto,Sim,9,89,Baixo,Sim,3,Médio,Médio,Privado,Neutro,3,Não,Faculdade,Perto,Feminino,66,médio
1927,18,69,Alto,Médio,Sim,8,65,Médio,Sim,4,Médio,Médio,Público,Neutro,4,Não,Ensino Médio,Longe,Masculino,65,médio
1928,27,88,Médio,Baixo,Não,7,56,Alto,Sim,2,Baixo,Médio,Público,Neutro,4,Não,Pós-Graduação,Perto,Feminino,70,médio
1929,32,68,Alto,Alto,Não,10,84,Médio,Sim,0,Médio,Alto,Privado,Positivo,2,Não,Pós-Graduação,Longe,Masculino,70,médio
1930,13,82,Alto,Médio,Não,6,56,Alto,Sim,2,Baixo,Alto,Público,Neutro,4,Não,Pós-Graduação,Perto,Masculino,67,médio
1931,23,70,Médio,Alto,Sim,7,73,Alto,Sim,1,Baixo,Médio,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,68,médio
1932,17,98,Médio,Baixo,Sim,6,62,Baixo,Sim,1,Médio,Médio,Privado,Neutro,2,Não,Faculdade,Perto,Feminino,68,médio
1933,19,61,Alto,Médio,Não,9,67,Médio,Sim,0,Baixo,Médio,Público,Negativo,2,Não,Faculdade,Longe,Feminino,61,médio
1934,36,68,Médio,Médio,Sim,8,74,Alto,Sim,2,Médio,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,70,médio
1935,11,70,Alto,Alto,Não,7,95,Alto,Sim,0,Baixo,Alto,Público,Negativo,5,Não,Faculdade,Moderado,Masculino,65,médio
1936,22,77,Baixo,Médio,Sim,5,84,Médio,Não,3,Alto,Médio,Público,Positivo,2,Não,Ensino Médio,Moderado,Masculino,66,médio
1937,23,69,Médio,Médio,Sim,6,59,Médio,Sim,3,Alto,Médio,Público,Neutro,3,Não,Pós-Graduação,Moderado,Masculino,67,médio
1938,27,80,Baixo,Baixo,Sim,5,94,Alto,Sim,3,Alto,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,69,médio
1939,21,95,Médio,Alto,Não,9,75,Médio,Sim,1,Baixo,Médio,Público,Neutro,2,Não,Faculdade,Longe,Masculino,69,médio
1940,22,88,Médio,Médio,Sim,5,60,Baixo,Sim,1,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Moderado,Masculino,67,médio
1941,18,83,Alto,Baixo,Não,9,76,Médio,Sim,0,Médio,Baixo,Privado,Neutro,4,Não,Ensino Médio,Perto,Feminino,66,médio
1942,22,64,Baixo,Médio,Sim,9,60,Médio,Sim,1,Alto,Alto,Privado,Neutro,2,Não,Ensino Médio,Perto,Masculino,63,médio
1943,18,88,Alto,Médio,Não,6,68,Baixo,Sim,0,Médio,Alto,Público,Neutro,4,Não,Ensino Médio,Longe,Feminino,67,médio
1944,24,67,Alto,Baixo,Sim,6,90,Médio,Sim,0,Baixo,Médio,Público,Neutro,1,Não,Faculdade,Longe,Masculino,64,médio
1945,18,91,Médio,Baixo,Não,6,83,Médio,Sim,2,Baixo,Médio,Privado,Neutro,4,Não,Ensino Médio,Perto,Masculino,68,médio
1946,22,70,Médio,Alto,Sim,8,74,Baixo,Sim,2,Baixo,Alto,Público,Negativo,2,Não,Ensino Médio,Moderado,Masculino,65,médio
1947,20,77,Médio,Baixo,Não,9,61,Médio,Sim,2,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,65,médio
1948,27,74,Médio,Baixo,Sim,9,64,Alto,Não,1,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,65,médio
1949,20,94,Baixo,Médio,Sim,6,99,Médio,Sim,0,Médio,Médio,Público,Negativo,4,Não,Faculdade,Perto,Feminino,70,médio
1950,9,65,Médio,Alto,Sim,9,67,Médio,Sim,1,Alto,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,62,médio
1951,28,83,Alto,Baixo,Não,9,81,Médio,Sim,0,Baixo,Médio,Público,Neutro,4,Não,Ensino Médio,Moderado,Masculino,68,médio
1952,15,66,Baixo,Alto,Sim,7,75,Baixo,Sim,0,Alto,Alto,Público,Negativo,3,Não,Faculdade,Perto,Masculino,62,médio
1953,16,88,Médio,Alto,Sim,7,51,Médio,Sim,0,Médio,Médio,Público,Positivo,3,Não,Faculdade,Perto,Feminino,68,médio
1954,16,96,Alto,Médio,Sim,9,97,Médio,Sim,0,Médio,Alto,Privado,Neutro,5,Não,Faculdade,Perto,Masculino,72,médio
1955,28,77,Alto,Médio,Sim,9,54,Baixo,Sim,1,Alto,Médio,Público,Positivo,3,Não,Pós-Graduação,Perto,Feminino,70,médio
1956,7,80,Alto,Médio,Não,9,83,Baixo,Não,3,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Longe,Feminino,62,médio
1957,39,97,Alto,Alto,Sim,10,91,Médio,Sim,2,Baixo,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Feminino,79,médio
1958,26,81,Médio,Alto,Sim,8,87,Médio,Sim,2,Alto,Alto,Público,Neutro,1,Não,Pós-Graduação,Perto,Masculino,73,médio
1959,21,80,Alto,Alto,Sim,7,90,Alto,Sim,1,Baixo,Baixo,Público,Negativo,2,Não,Faculdade,Longe,Masculino,68,médio
1960,20,83,Alto,Médio,Sim,9,87,Baixo,Sim,0,Alto,Médio,Público,Neutro,2,Não,Ensino Médio,Perto,Masculino,68,médio
1961,22,88,Médio,Médio,Sim,10,72,Médio,Sim,2,Baixo,Alto,Público,Neutro,2,Não,Ensino Médio,Moderado,Feminino,69,médio
1962,23,64,Médio,Baixo,Sim,6,95,Alto,Sim,1,Baixo,Médio,Público,Positivo,2,Sim,Faculdade,Longe,Feminino,63,médio
1963,24,93,Médio,Médio,Sim,7,96,Médio,Não,5,Alto,Médio,Público,Negativo,4,Não,Pós-Graduação,Perto,Feminino,74,médio
1964,23,77,Médio,Médio,Sim,5,72,Médio,Sim,2,Alto,Alto,Público,Negativo,5,Não,Faculdade,Moderado,Feminino,69,médio
1965,21,63,Médio,Baixo,Não,8,74,Médio,Sim,0,Baixo,Médio,Público,Negativo,3,Não,Ensino Médio,Perto,Feminino,61,médio
1966,19,91,Médio,Baixo,Sim,8,74,Baixo,Sim,4,Médio,Médio,Público,Neutro,2,Sim,Pós-Graduação,Perto,Feminino,69,médio
1967,19,75,Médio,Baixo,Não,6,64,Alto,Sim,2,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Feminino,64,médio
1968,19,64,Médio,Médio,Sim,9,56,Baixo,Sim,2,Baixo,Médio,Público,Positivo,4,Não,Pós-Graduação,Longe,Feminino,63,médio
1969,27,85,Baixo,Alto,Não,6,63,Baixo,Sim,1,Baixo,Médio,Público,Negativo,2,Não,Faculdade,Perto,Masculino,68,médio
1970,24,95,Alto,Médio,Sim,6,92,Médio,Sim,2,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Longe,Masculino,72,médio
1971,2,96,Baixo,Alto,Sim,9,77,Médio,Sim,3,Médio,Médio,Público,Neutro,2,Não,Ensino Médio,Longe,Feminino,65,médio
1972,24,98,Baixo,Baixo,Não,6,93,Baixo,Não,2,Baixo,Baixo,Público,Positivo,4,Não,Faculdade,Perto,Masculino,69,médio
1973,21,95,Médio,Baixo,Não,5,87,Baixo,Sim,2,Médio,Médio,Privado,Neutro,4,Não,Ensino Médio,Perto,Masculino,70,médio
1974,20,60,Médio,Médio,Sim,8,67,Baixo,Sim,1,Médio,Médio,Público,Neutro,4,Não,Pós-Graduação,Moderado,Feminino,63,médio
1975,18,75,Baixo,Médio,Sim,7,59,Baixo,Sim,0,Médio,Médio,Público,Positivo,2,Sim,Ensino Médio,Perto,Feminino,62,médio
1976,27,93,Médio,Médio,Sim,9,78,Baixo,Sim,1,Baixo,Médio,Público,Positivo,2,Não,Pós-Graduação,Perto,Feminino,72,médio
1977,26,75,Alto,Alto,Não,8,97,Médio,Sim,1,Baixo,Médio,Público,Neutro,4,Não,Ensino Médio,Longe,Masculino,69,médio
1978,15,84,Médio,Médio,Não,4,92,Baixo,Sim,2,Médio,Médio,Público,Negativo,3,Não,Ensino Médio,Moderado,Feminino,66,médio
1979,22,84,Médio,Médio,Sim,9,88,Médio,Sim,2,Baixo,Alto,Privado,Neutro,4,Não,Pós-Graduação,Perto,Masculino,71,médio
1980,14,75,Baixo,Baixo,Não,10,88,Médio,Sim,2,Baixo,Médio,Privado,Negativo,3,Não,Faculdade,Moderado,Feminino,62,médio
1981,12,96,Médio,Baixo,Sim,9,76,Médio,Sim,2,Médio,Alto,Público,Positivo,2,Não,Ensino Médio,Perto,Masculino,68,médio
1982,16,80,Alto,Baixo,Não,9,58,Baixo,Sim,0,Médio,Médio,Público,Neutro,2,Não,Ensino Médio,Perto,Feminino,63,médio
1983,25,79,Médio,Médio,Sim,7,64,Médio,Sim,0,Baixo,Médio,Público,Neutro,3,Não,Faculdade,Longe,Feminino,66,médio
1984,26,100,Alto,Médio,Sim,6,79,Alto,Sim,1,Médio,Alto,Público,Positivo,3,Não,Faculdade,Moderado,Masculino,75,médio
1985,23,80,Médio,Baixo,Sim,7,66,Alto,Sim,1,Alto,Alto,Privado,Positivo,4,Não,Faculdade,Perto,Feminino,69,médio
1986,24,67,Alto,Médio,Não,8,89,Médio,Sim,2,Alto,Baixo,Privado,Positivo,3,Não,Ensino Médio,Perto,Feminino,68,médio
1987,23,81,Alto,Médio,Não,8,69,Médio,Sim,5,Médio,Médio,Público,Negativo,2,Não,Ensino Médio,Moderado,Masculino,69,médio
1988,16,93,Alto,Baixo,Não,6,56,Médio,Sim,2,Baixo,Médio,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,67,médio
1989,23,91,Alto,Médio,Sim,6,89,Médio,Sim,3,Médio,Médio,Privado,Negativo,3,Não,Pós-Graduação,Perto,Masculino,73,médio
1990,25,92,Médio,Alto,Sim,5,85,Baixo,Sim,1,Baixo,Médio,Público,Negativo,1,Não,Faculdade,Perto,Masculino,71,médio
1991,25,88,Alto,Médio,Sim,8,63,Médio,Sim,2,Alto,Médio,Público,Positivo,3,Não,Ensino Médio,Moderado,Feminino,71,médio
1992,27,70,Médio,Médio,Não,6,99,Alto,Sim,2,Baixo,Médio,Privado,Neutro,2,Não,Ensino Médio,Perto,Feminino,68,médio
1993,24,94,Alto,Baixo,Não,7,70,Médio,Sim,1,Alto,Médio,Público,Neutro,1,Não,Ensino Médio,Perto,Masculino,70,médio
1994,22,96,Baixo,Alto,Sim,10,84,Baixo,Sim,1,Alto,Alto,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,71,médio
1995,26,68,Médio,Alto,Não,8,96,Alto,Sim,1,Médio,Alto,Público,Neutro,2,Não,Ensino Médio,Perto,Masculino,69,médio
1996,20,65,Alto,Médio,Não,7,58,Médio,Não,3,Baixo,Médio,Privado,Neutro,4,Não,Ensino Médio,Perto,Masculino,63,médio
1997,15,99,Baixo,Médio,Sim,8,94,Médio,Sim,2,Médio,Médio,Privado,Neutro,3,Não,Pós-Graduação,Perto,Masculino,71,médio
1998,19,95,Médio,Médio,Sim,9,85,Médio,Não,2,Baixo,Médio,Público,Negativo,3,Não,Faculdade,Perto,Masculino,69,médio
1999,16,96,Alto,Médio,Sim,5,58,Médio,Sim,2,Alto,Baixo,Público,Positivo,5,Não,Pós-Graduação,Moderado,Masculino,71,médio
2000,16,95,Médio,Baixo,Não,6,83,Baixo,Sim,2,Baixo,Alto,Privado,Neutro,3,Não,Ensino Médio,Perto,Feminino,68,médio
2001,19,82,Médio,Médio,Não,7,94,Médio,Sim,1,Médio,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Feminino,68,médio
2002,15,86,Médio,Baixo,Não,6,90,Médio,Sim,0,Médio,Alto,Público,Neutro,3,Não,Pós-Graduação,Longe,Masculino,66,médio
2003,18,82,Médio,Médio,Não,7,88,Médio,Sim,3,Baixo,Médio,Público,Negativo,3,Não,Faculdade,Moderado,Feminino,67,médio
2004,9,62,Baixo,Alto,Sim,5,58,Baixo,Sim,0,Médio,Alto,Privado,Positivo,5,Não,Faculdade,Moderado,Feminino,59,baixo
2005,21,90,Baixo,Médio,Não,8,60,Médio,Sim,1,Baixo,Médio,Público,Negativo,2,Não,Faculdade,Perto,Feminino,66,médio
2006,20,80,Baixo,Baixo,Não,6,77,Baixo,Sim,0,Médio,Alto,Privado,Negativo,3,Não,Ensino Médio,Perto,Masculino,64,médio
2007,15,86,Médio,Médio,Não,7,79,Médio,Sim,1,Baixo,Médio,Público,Neutro,3,Sim,Ensino Médio,Moderado,Feminino,64,médio
2008,24,80,Médio,Alto,Sim,7,97,Médio,Sim,0,Baixo,Alto,Privado,Neutro,4,Não,Ensino Médio,Moderado,Feminino,69,médio
2009,26,80,Alto,Baixo,Não,8,73,Alto,Sim,1,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,69,médio
2010,10,67,Médio,Médio,Não,4,65,Médio,Não,3,Médio,Médio,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,61,médio
2011,15,71,Alto,Alto,Não,8,60,Médio,Sim,0,Baixo,Alto,Privado,Negativo,3,Não,Ensino Médio,Longe,Feminino,62,médio
2012,15,66,Baixo,Médio,Não,7,53,Médio,Sim,2,Médio,Alto,Público,Negativo,3,Não,Faculdade,Perto,Feminino,61,médio
2013,14,68,Médio,Médio,Sim,8,53,Alto,Sim,1,Médio,Alto,Privado,Positivo,2,Não,Faculdade,Perto,Feminino,63,médio
2014,25,99,Médio,Baixo,Não,5,79,Baixo,Sim,2,Baixo,Médio,Público,Positivo,4,Não,Faculdade,Perto,Feminino,71,médio
2015,19,66,Alto,Alto,Sim,8,59,Médio,Sim,1,Médio,Baixo,Público,Positivo,2,Não,Pós-Graduação,Moderado,Feminino,65,médio
2016,18,71,Alto,Alto,Sim,9,93,Médio,Sim,1,Baixo,Alto,Privado,Neutro,4,Não,Faculdade,Moderado,Masculino,68,médio
2017,8,84,Alto,Alto,Não,7,80,Médio,Sim,1,Alto,Alto,Público,Positivo,4,Não,Ensino Médio,Moderado,Masculino,67,médio
2018,24,84,Baixo,Alto,Sim,6,93,Alto,Sim,2,Baixo,Médio,Público,Neutro,1,Não,Ensino Médio,Perto,Feminino,70,médio
2019,13,66,Alto,Médio,Sim,6,71,Médio,Sim,3,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,64,médio
2020,20,92,Médio,Alto,Não,8,80,Alto,Sim,0,Médio,Médio,Privado,Neutro,3,Não,Faculdade,Perto,Masculino,71,médio
2021,22,91,Alto,Médio,Sim,8,76,Baixo,Sim,2,Médio,Médio,Público,Neutro,3,Não,Faculdade,Moderado,Feminino,71,médio
2022,28,69,Médio,Alto,Não,8,99,Baixo,Sim,0,Alto,Médio,Privado,Negativo,3,Não,Ensino Médio,Moderado,Feminino,67,médio
2023,12,72,Médio,Baixo,Sim,7,90,Médio,Sim,0,Alto,Médio,Público,Positivo,3,Não,Pós-Graduação,Longe,Masculino,63,médio
2024,2,98,Baixo,Alto,Sim,7,80,Alto,Sim,2,Baixo,Alto,Público,Neutro,1,Não,Ensino Médio,Perto,Masculino,66,médio
2025,21,93,Médio,Baixo,Sim,7,80,Médio,Sim,3,Alto,Médio,Público,Neutro,1,Não,Ensino Médio,Moderado,Masculino,70,médio
2026,31,88,Médio,Baixo,Não,6,62,Médio,Sim,2,Baixo,Médio,Privado,Positivo,4,Não,Ensino Médio,Perto,Masculino,70,médio
2027,27,63,Baixo,Médio,Sim,8,87,Médio,Sim,3,Baixo,Alto,Privado,Positivo,3,Não,Ensino Médio,Perto,Feminino,67,médio
2028,21,77,Baixo,Médio,Não,7,99,Alto,Sim,3,Médio,Alto,Público,Neutro,3,Não,Pós-Graduação,Perto,Masculino,69,médio
2029,17,82,Alto,Baixo,Não,9,56,Baixo,Sim,3,Alto,Médio,Público,Positivo,2,Não,Ensino Médio,Perto,Feminino,66,médio
2030,25,67,Médio,Alto,Não,9,82,Médio,Sim,1,Médio,Médio,Público,Positivo,3,Não,Pós-Graduação,Longe,Feminino,67,médio
2031,14,78,Alto,Médio,Sim,7,76,Médio,Sim,0,Alto,Médio,Público,Negativo,2,Sim,Faculdade,Perto,Feminino,65,médio
2032,23,84,Alto,Alto,Sim,8,93,Médio,Sim,1,Alto,Médio,Público,Positivo,3,Não,Pós-Graduação,Longe,Masculino,72,médio
2033,23,73,Alto,Alto,Não,6,50,Médio,Sim,1,Médio,Médio,Público,Positivo,3,Não,Faculdade,Perto,Masculino,68,médio
2034,26,91,Alto,Médio,Sim,7,57,Baixo,Sim,3,Médio,Médio,Público,Negativo,3,Não,Faculdade,Perto,Masculino,72,médio
2035,37,94,Alto,Médio,Sim,8,52,Alto,Sim,1,Baixo,Médio,Privado,Positivo,3,Não,Pós-Graduação,Perto,Masculino,76,médio
2036,22,73,Médio,Baixo,Sim,5,58,Médio,Sim,4,Baixo,Médio,Público,Positivo,3,Sim,Faculdade,Perto,Feminino,65,médio
2037,17,94,Baixo,Médio,Não,8,85,Médio,Sim,1,Médio,Baixo,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,68,médio
2038,20,64,Médio,Médio,Sim,6,57,Médio,Sim,3,Baixo,Alto,Público,Neutro,4,Não,Faculdade,Perto,Feminino,65,médio
2039,9,94,Médio,Médio,Sim,6,81,Baixo,Sim,0,Baixo,Alto,Público,Positivo,3,Não,Ensino Médio,Perto,Masculino,66,médio
2040,16,66,Baixo,Médio,Não,6,93,Médio,Sim,7,Baixo,Médio,Público,Negativo,2,Não,Ensino Médio,Longe,Masculino,63,médio
2041,18,63,Médio,Baixo,Não,7,52,Médio,Sim,2,Alto,Alto,Público,Positivo,3,Não,Pós-Graduação,Moderado,Feminino,63,médio
2042,17,86,Médio,Médio,Sim,5,51,Médio,Sim,2,Baixo,Médio,Privado,Neutro,2,Não,Pós-Graduação,Moderado,Masculino,66,médio
2043,21,79,Alto,Baixo,Sim,8,99,Médio,Sim,2,Baixo,Alto,Público,Positivo,4,Não,Ensino Médio,Perto,Masculino,69,médio
2044,15,96,Médio,Alto,Sim,7,84,Alto,Sim,3,Médio,Baixo,Público,Positivo,1,Não,Pós-Graduação,Perto,Masculino,72,médio
2045,27,75,Médio,Baixo,Sim,10,57,Médio,Sim,3,Alto,Baixo,Público,Negativo,3,Não,Ensino Médio,Perto,Masculino,66,médio
2046,20,71,Médio,Médio,Sim,7,65,Médio,Não,2,Médio,Médio,Público,Negativo,4,Não,Ensino Médio,Moderado,Feminino,64,médio
2047,20,80,Médio,Baixo,Sim,8,99,Baixo,Sim,0,Baixo,Alto,Privado,Positivo,3,Não,Ensino Médio,Perto,Masculino,67,médio
2048,18,78,Alto,Alto,Sim,6,61,Baixo,Sim,1,Baixo,Médio,Privado,Positivo,5,Não,Ensino Médio,Perto,Masculino,67,médio
2049,21,74,Baixo,Médio,Sim,5,88,Médio,Sim,1,Médio,Alto,Público,Neutro,1,Não,Faculdade,Perto,Masculino,66,médio
2050,25,88,Médio,Baixo,Sim,8,62,Baixo,Sim,2,Baixo,Médio,Público,Neutro,2,Não,Ensino Médio,Perto,Feminino,68,médio
2051,15,90,Médio,Médio,Não,5,70,Médio,Sim,0,Médio,Médio,Privado,Neutro,2,Não,Ensino Médio,Moderado,Masculino,65,médio
2052,16,94,Médio,Alto,Sim,8,94,Alto,Sim,2,Baixo,Alto,Privado,Negativo,3,Não,Ensino Médio,Perto,Masculino,71,médio
2053,18,99,Médio,Alto,Sim,10,51,Médio,Sim,1,Médio,Baixo,Público,Neutro,4,Não,Pós-Graduação,Perto,Masculino,71,médio
2054,12,71,Médio,Médio,Sim,8,65,Médio,Sim,1,Médio,Alto,Privado,Neutro,2,Não,Ensino Médio,Moderado,Masculino,62,médio
2055,15,89,Médio,Alto,Sim,8,74,Baixo,Sim,2,Médio,Alto,Público,Positivo,2,Não,Faculdade,Perto,Masculino,69,médio
2056,17,76,Médio,Baixo,Não,7,81,Baixo,Sim,4,Alto,Médio,Privado,Neutro,2,Não,Ensino Médio,Perto,Masculino,65,médio
2057,25,87,Alto,Baixo,Não,6,51,Baixo,Sim,3,Médio,Médio,Público,Neutro,3,Não,Pós-Graduação,Perto,Masculino,70,médio
2058,22,79,Médio,Médio,Sim,7,71,Médio,Sim,2,Baixo,Médio,Privado,Neutro,2,Não,Faculdade,Moderado,Masculino,66,médio
2059,21,100,Médio,Médio,Não,6,67,Médio,Sim,0,Alto,Médio,Público,Positivo,3,Não,Ensino Médio,Longe,Masculino,70,médio
2060,25,89,Médio,Alto,Não,5,51,Baixo,Sim,2,Médio,Alto,Privado,Negativo,2,Não,Pós-Graduação,Moderado,Feminino,70,médio
2061,19,98,Baixo,Alto,Sim,7,68,Médio,Sim,1,Baixo,Médio,Privado,Neutro,4,Não,Ensino Médio,Moderado,Feminino,69,médio
2062,22,93,Alto,Baixo,Sim,9,97,Médio,Sim,2,Médio,Médio,Público,Neutro,3,Sim,Ensino Médio,Perto,Masculino,71,médio
2063,19,96,Médio,Médio,Não,5,64,Médio,Sim,1,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,69,médio
2064,22,93,Alto,Médio,Não,9,79,Médio,Sim,2,Médio,Alto,Público,Positivo,2,Não,Pós-Graduação,Perto,Feminino,73,médio
2065,17,78,Médio,Médio,Sim,9,65,Baixo,Sim,1,Médio,Alto,Público,Neutro,4,Não,Ensino Médio,Moderado,Feminino,65,médio
2066,5,70,Alto,Alto,Sim,8,55,Médio,Sim,3,Baixo,Médio,Público,Neutro,3,Não,Ensino Médio,Perto,Masculino,62,médio
2067,19,75,Médio,Alto,Não,8,64,Médio,Sim,2,Alto,Baixo,Público,Negativo,5,Não,Pós-Graduação,Moderado,Feminino,67,médio
2068,29,61,Baixo,Médio,Sim,7,74,Alto,Sim,1,Médio,Médio,Público,Neutro,3,Não,Pós-Graduação,Moderado,Masculino,65,médio
2069,26,81,Baixo,Médio,Não,7,65,Baixo,Sim,1,Médio,Médio,Público,Neutro,3,Não,Ensino Médio,Longe,Masculino,65,médio
2070,26,80,Médio,Alto,Sim,6,81,Médio,Sim,0,Médio,Médio,Público,Neutro,2,Não,Faculdade,Perto,Feminino,70,médio
2071,27,81,Médio,Médio,Sim,7,97,Baixo,Sim,1,Médio,Médio,Público,Neutro,2,Não,Faculdade,Perto,Feminino,70,médio
2072,21,99,Médio,Alto,Sim,7,53,Médio,Sim,0,Médio,Baixo,Público,Neutro,4,Não,Pós-Graduação,Perto,Feminino,71,médio
2073,21,96,Alto,Baixo,Não,10,86,Baixo,Sim,1,Baixo,Alto,Público,Neutro,3,Não,Faculdade,Perto,Masculino,71,médio
2074,16,66,Médio,Médio,Sim,8,50,Baixo,Sim,1,Médio,Alto,Público,Neutro,4,Não,Ensino Médio,Moderado,Masculino,62,médio
2075,18,75,Médio,Baixo,Não,7,50,Médio,Sim,4,Baixo,Médio,Público,Positivo,2,Não,Pós-Graduação,Perto,Feminino,65,médio
2076,24,77,Alto,Médio,Sim,7,57,Médio,Sim,3,Médio,Alto,Público,Positivo,2,Não,Faculdade,Longe,Masculino,84,alto
2077,27,74,Médio,Médio,Sim,6,74,Médio,Sim,2,Médio,Alto,Público,Neutro,2,Não,Faculdade,Longe,Masculino,68,médio
2078,19,92,Alto,Médio,Sim,6,52,Médio,Sim,3,Alto,Médio,Público,Positivo,1,Não,Ensino Médio,Perto,Masculino,70,médio
2079,17,81,Médio,Alto,Não,8,86,Médio,Sim,1,Médio,Médio,Privado,Neutro,3,Não,Pós-Graduação,Perto,Masculino,68,médio
2080,20,83,Médio,Médio,Não,6,51,Médio,Sim,2,Baixo,Alto,Público,Negativo,4,Não,Pós-Graduação,Perto,Masculino,67,médio
